Temperature_K,Pressure_Ideal-Gas-Model-bars,Pressure_van-der-Waals-Real-Gas-Model_bars,Pressure-Peng-Robinson-Real-Gas-Model-bars
328.000, 41.956, 20.129, 15.102
330.000, 42.212, 20.436, 15.492
332.000, 42.468, 20.743, 15.882
334.000, 42.724, 21.050, 16.271
336.000, 42.980, 21.357, 16.659
338.000, 43.235, 21.664, 17.047
340.000, 43.491, 21.971, 17.435
342.000, 43.747, 22.279, 17.822
344.000, 44.003, 22.586, 18.209
346.000, 44.259, 22.893, 18.595
348.000, 44.515, 23.200, 18.981
350.000, 44.770, 23.507, 19.366
352.000, 45.026, 23.814, 19.751
354.000, 45.282, 24.121, 20.135
356.000, 45.538, 24.428, 20.519
358.000, 45.794, 24.735, 20.903
360.000, 46.050, 25.042, 21.286
362.000, 46.305, 25.349, 21.669
364.000, 46.561, 25.656, 22.051
366.000, 46.817, 25.964, 22.433
368.000, 47.073, 26.271, 22.814
370.000, 47.329, 26.578, 23.195
372.000, 47.585, 26.885, 23.576
374.000, 47.840, 27.192, 23.956
376.000, 48.096, 27.499, 24.336
378.000, 48.352, 27.806, 24.715
380.000, 48.608, 28.113, 25.094
382.000, 48.864, 28.420, 25.472
384.000, 49.120, 28.727, 25.851
386.000, 49.375, 29.034, 26.228
388.000, 49.631, 29.341, 26.606
390.000, 49.887, 29.648, 26.983
392.000, 50.143, 29.956, 27.360
394.000, 50.399, 30.263, 27.736
396.000, 50.654, 30.570, 28.112
398.000, 50.910, 30.877, 28.487
400.000, 51.166, 31.184, 28.862
402.000, 51.422, 31.491, 29.237
404.000, 51.678, 31.798, 29.612
406.000, 51.934, 32.105, 29.986
408.000, 52.189, 32.412, 30.359
410.000, 52.445, 32.719, 30.733
412.000, 52.701, 33.026, 31.106
414.000, 52.957, 33.333, 31.478
416.000, 53.213, 33.641, 31.851
418.000, 53.469, 33.948, 32.223
420.000, 53.724, 34.255, 32.594
422.000, 53.980, 34.562, 32.966
424.000, 54.236, 34.869, 33.337
426.000, 54.492, 35.176, 33.707
428.000, 54.748, 35.483, 34.077
430.000, 55.004, 35.790, 34.447
432.000, 55.259, 36.097, 34.817
434.000, 55.515, 36.404, 35.186
436.000, 55.771, 36.711, 35.555
438.000, 56.027, 37.018, 35.924
440.000, 56.283, 37.326, 36.292
442.000, 56.539, 37.633, 36.660
444.000, 56.794, 37.940, 37.028
446.000, 57.050, 38.247, 37.395
448.000, 57.306, 38.554, 37.762
450.000, 57.562, 38.861, 38.129
452.000, 57.818, 39.168, 38.496
454.000, 58.074, 39.475, 38.862
456.000, 58.329, 39.782, 39.228
458.000, 58.585, 40.089, 39.593
460.000, 58.841, 40.396, 39.958
462.000, 59.097, 40.703, 40.323
464.000, 59.353, 41.010, 40.688
466.000, 59.609, 41.318, 41.052
468.000, 59.864, 41.625, 41.417
470.000, 60.120, 41.932, 41.780
472.000, 60.376, 42.239, 42.144
474.000, 60.632, 42.546, 42.507
476.000, 60.888, 42.853, 42.870
478.000, 61.144, 43.160, 43.233
480.000, 61.399, 43.467, 43.595
482.000, 61.655, 43.774, 43.957
484.000, 61.911, 44.081, 44.319
486.000, 62.167, 44.388, 44.681
488.000, 62.423, 44.695, 45.042
490.000, 62.679, 45.003, 45.403
492.000, 62.934, 45.310, 45.764
494.000, 63.190, 45.617, 46.124
496.000, 63.446, 45.924, 46.484
498.000, 63.702, 46.231, 46.844
500.000, 63.958, 46.538, 47.204
502.000, 64.214, 46.845, 47.563
504.000, 64.469, 47.152, 47.922
506.000, 64.725, 47.459, 48.281
508.000, 64.981, 47.766, 48.640
510.000, 65.237, 48.073, 48.998
512.000, 65.493, 48.380, 49.356
514.000, 65.749, 48.687, 49.714
516.000, 66.004, 48.995, 50.072
518.000, 66.260, 49.302, 50.429
520.000, 66.516, 49.609, 50.786
522.000, 66.772, 49.916, 51.143
524.000, 67.028, 50.223, 51.500
526.000, 67.283, 50.530, 51.856
528.000, 67.539, 50.837, 52.212
530.000, 67.795, 51.144, 52.568
532.000, 68.051, 51.451, 52.924
534.000, 68.307, 51.758, 53.279
536.000, 68.563, 52.065, 53.635
538.000, 68.818, 52.372, 53.990
540.000, 69.074, 52.680, 54.344
542.000, 69.330, 52.987, 54.699
544.000, 69.586, 53.294, 55.053
546.000, 69.842, 53.601, 55.407
548.000, 70.098, 53.908, 55.761
550.000, 70.353, 54.215, 56.114
552.000, 70.609, 54.522, 56.468
554.000, 70.865, 54.829, 56.821
556.000, 71.121, 55.136, 57.174
